 Timestamp_formatted, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other.1, Other.2, Other.3, Other.4, Other.5, Other.6, Analog Channel 0, Analog Channel 1, Analog Channel 2, Other.7
 2023-06-24 15:04:56.274,-74777.89519,35980.78769,8407.13929,32783.72828,25580.16337,-50516.48474,19701.11814,-64547.16647,-0.024,0.096,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75088.51738,36425.58741,8880.996273,33112.88006,26057.48487,-51248.10204,20183.53584,-65042.70465,-0.024,0.096,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75182.57352,37957.2407,10425.2783,34567.95628,27591.86507,-52535.76369,21719.10068,-65880.7386,-0.024,0.096,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-74924.41087,38485.30066,10929.35484,35157.55059,28089.61607,-52663.97329,22221.0091,-65947.88324,-0.026,0.094,-0.99,192,255,48,2,240,225,16,0,0,0,0
 2023-06-24 15:04:56.275,-74625.34453,37300.45704,9711.408283,34091.5512,26876.69866,-51395.04241,21016.89828,-65104.239,-0.026,0.094,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74710.19175,36046.16654,8468.539532,32838.33359,25640.62484,-50499.98915,19773.29192,-64536.32588,-0.026,0.094,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-75020.45632,36477.77873,8928.270212,33157.38239,26098.74619,-51221.54817,20232.01677,-65024.42092,-0.026,0.094,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-75125.48716,37944.09787,10407.59807,34554.41112,27568.21693,-52522.15147,21697.73241,-65871.52968,-0.026,0.094,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74871.16902,38470.81673,10915.83203,35144.51953,28070.17005,-52665.06853,22209.00622,-65947.07858,-0.026,0.094,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74581.42335,37226.24924,9646.655279,34020.98674,26801.26152,-51410.88979,20941.84112,-65114.90078,-0.026,0.094,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74657.97808,35990.35424,8428.01582,32779.25793,25585.43838,-50495.00471,19724.18514,-64533.75543,-0.026,0.094,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74963.19115,36434.32694,8902.476299,33118.19978,26062.20109,-51199.44229,20190.24136,-65012.32863,-0.026,0.094,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-75065.53979,37949.88697,10424.00425,34560.02141,27585.15955,-52497.96689,21730.2095,-65858.94565,-0.026,0.094,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74809.70172,38513.4415,10961.31783,35192.35226,28126.98819,-52651.3222,22278.18486,-65941.87062,-0.02,0.094,-0.986,192,255,96,2,240,225,48,0,0,0,0
 2023-06-24 15:04:56.275,-74513.80932,37303.74274,9718.113806,34105.94572,26887.09222,-51403.11139,21033.21505,-65114.18553,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74594.02974,36008.79443,8434.855453,32801.07323,25602.89509,-50483.27005,19748.03445,-64532.54843,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74902.28264,36425.43094,8885.421918,33114.93643,26052.23221,-51180.9127,20172.51643,-65008.68529,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-75009.57102,37930.12803,10402.47952,34542.76586,27564.86417,-52483.10298,21686.10951,-65859.5715,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74760.81845,38485.16655,10930.31596,35161.59626,28095.49458,-52648.39413,22227.87109,-65950.74427,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74461.48389,37331.95064,9749.361545,34123.49184,26903.87838,-51399.19983,21042.28986,-65120.82399,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74546.86756,36002.24537,8433.112017,32793.76421,25590.46752,-50472.4518,19737.05974,-64534.18011,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74862.0495,36387.6565,8848.005098,33062.34277,26003.19248,-51167.25578,20145.26965,-65006.71834,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74976.66925,37877.93671,10348.81298,34475.15183,27498.52419,-52477.44798,21634.52168,-65859.41504,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74726.59793,38483.22195,10930.33831,35152.83437,28079.22251,-52653.2221,22211.12963,-65955.54989,-0.022,0.09,-0.986,192,255,80,2,208,225,48,0,0,0,0
 2023-06-24 15:04:56.275,-74432.8066,37299.49591,9716.593887,34100.11191,26875.69283,-51418.75761,21030.13051,-65135.82201,-0.022,0.09,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74509.92012,35983.02287,8413.442482,32782.54363,25575.71537,-50483.73943,19742.84884,-64542.53966,-0.022,0.09,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74810.41697,36419.28421,8881.59977,33095.37865,26037.2789,-51157.53277,20194.46584,-65001.1304,-0.022,0.09,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74924.00854,37901.47309,10374.58454,34505.4161,27525.36863,-52464.52868,21668.11635,-65856.35285,-0.022,0.09,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74676.2171,38491.96148,10947.32564,35158.9364,28089.48196,-52651.2328,22229.74863,-65964.37883,-0.022,0.09,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74382.7387,37292.07513,9719.231393,34085.04684,26865.6569,-51425.97722,21014.14901,-65153.97163,-0.022,0.09,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74451.78323,36006.35809,8444.466703,32795.68646,25595.38491,-50476.34101,19746.04514,-64550.36277,-0.022,0.09,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74754.67172,36432.82937,8898.408282,33108.14149,26044.76673,-51141.50657,20192.65535,-65002.60562,-0.022,0.09,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74874.09709,37894.99109,10370.58358,34500.09638,27514.05865,-52452.16816,21659.7568,-65861.22553,-0.022,0.09,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74623.77991,38524.3268,10976.13704,35194.58743,28122.719,-52648.32707,22265.48907,-65972.09018,-0.02,0.094,-0.986,192,255,96,2,240,225,48,0,0,0,0
 2023-06-24 15:04:56.275,-74318.70095,37388.32174,9814.606287,34187.68605,26968.11729,-51421.1716,21094.45883,-65158.73255,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74391.96997,36047.55235,8486.532687,32854.02451,25642.61414,-50463.73462,19756.10343,-64553.60377,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74698.05475,36445.88279,8914.725055,33126.55933,26061.91052,-51122.86521,20184.40755,-65002.49386,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.275,-74816.4743,37942.75677,10421.92554,34540.39658,27565.37826,-52435.382,21691.94331,-65860.84555,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.276,-74582.49624,38504.65727,10959.0156,35168.54765,28105.66462,-52652.61861,22228.49694,-65989.70336,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.276,-74282.24525,37365.88059,9791.472231,34148.63755,26940.35643,-51439.05299,21074.00698,-65185.08526,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.276,-74345.99243,36041.18211,8475.69209,32825.01195,25627.45966,-50472.72002,19769.1792,-64571.03814,-0.02,0.094,-0.986,192,0,0,0,0,0,0,0,0,0,0
